complaint_type,description,agency,location,status,source_dataset,text,category,glm52_pred,glm52_confidence,glm52_reason,glm52_raw_output,priority_score,priority_level,assigned_department
Bangalore public transport complaint,Private bus owners call out irregularities in FC issuance. Private bus owners call out irregularities in FC issuance  Bangalore Mirror,Unknown,"Bangalore, Karnataka",Unknown,India,bangalore public transport complaint. private bus owners call out irregularities in fc issuance. private bus owners call out irregularities in fc issuance bangalore mirror,other,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 26.783801408s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '26s'}]}}]",,20,low,General Municipal Services
Kanpur citizens complain,"Delhi govt to launch AI-based ""Unified Grievance Redressal System"" in partnership with IIT Kanpur. Delhi govt to launch AI-based ""Unified Grievance Redressal System"" in partnership with IIT Kanpur  The News Mill",Unknown,"Kanpur, Uttar Pradesh",Unknown,India,kanpur citizens complain. delhi govt to launch ai-based unified grievance redressal system in partnership with iit kanpur. delhi govt to launch ai-based unified grievance redressal system in partnership with iit kanpur the news mill,other,other,0.9,"The complaint is a news item about a government initiative, not a specific urban problem.","{
  ""category"": ""other"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint is a news item about a government initiative, not a specific urban problem.""
}",20,low,General Municipal Services
Asansol municipal negligence,Bengal civic polls: Massive win for Trinamool Congress. Bengal civic polls: Massive win for Trinamool Congress  The Times of India,Unknown,"Asansol, West Bengal",Unknown,India,asansol municipal negligence. bengal civic polls massive win for trinamool congress. bengal civic polls massive win for trinamool congress the times of india,other,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 10.018918406s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '10s'}]}}]",,20,low,General Municipal Services
Pune electricity complaint,Kalyaninagar residents irked due to frequent power fluctuations | Hindustan Times. Kalyaninagar residents irked due to frequent power fluctuations | Hindustan Times  Hindustan Times,Unknown,"Pune, Maharashtra",Unknown,India,pune electricity complaint. kalyaninagar residents irked due to frequent power fluctuations  hindustan times. kalyaninagar residents irked due to frequent power fluctuations  hindustan times hindustan times,other,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 25.181877835s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '25s'}]}}]",,20,low,General Municipal Services
Kolkata civic issue,"Kolkata Municipal Corporation session cancelled, Trinamool councillors hold ‘protest meet’ outside locked room. Kolkata Municipal Corporation session cancelled, Trinamool councillors hold ‘protest meet’ outside locked room  The Indian Express",Unknown,"Kolkata, West Bengal",Unknown,India,"kolkata civic issue. kolkata municipal corporation session cancelled, trinamool councillors hold protest meet outside locked room. kolkata municipal corporation session cancelled, trinamool councillors hold protest meet outside locked room the indian express",other,other,0.0,"Error code: 429 - [{'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 11.460973527s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '11s'}]}}]",,20,low,General Municipal Services
Surat ward complaint,AMC complaint system creates trouble: Citizens asked their ward before filing of complaints. AMC complaint system creates trouble: Citizens asked their ward before filing of complaints  GujaratSamachar English,Unknown,"Surat, Gujarat",Unknown,India,surat ward complaint. amc complaint system creates trouble citizens asked their ward before filing of complaints. amc complaint system creates trouble citizens asked their ward before filing of complaints gujaratsamachar english,other,other,0.9,"The complaint is about the administrative process of the complaint system itself, not a specific urban service or infrastructure.","{
  ""category"": ""other"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint is about the administrative process of the complaint system itself, not a specific urban service or infrastructure.""
}",20,low,General Municipal Services
Hubli municipal negligence,Kittur protest against ‘negligent’ hospital. Kittur protest against ‘negligent’ hospital  The New Indian Express,Unknown,"Hubli, Karnataka",Unknown,India,hubli municipal negligence. kittur protest against negligent hospital. kittur protest against negligent hospital the new indian express,other,public_safety,0.9,"The complaint explicitly mentions a 'negligent hospital,' which directly relates to public health and safety concerns.","{
  ""category"": ""public_safety"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint explicitly mentions a 'negligent hospital,' which directly relates to public health and safety concerns.""
}",100,critical,Public Safety and Emergency Response Department
Madurai citizens complain,Madurai collectorate uses social networking to address citizen woes. Madurai collectorate uses social networking to address citizen woes  Rediff,Unknown,"Madurai, Tamil Nadu",Unknown,India,madurai citizens complain. madurai collectorate uses social networking to address citizen woes. madurai collectorate uses social networking to address citizen woes rediff,other,other,0.9,The complaint describes the collectorate's method of addressing citizen issues (social networking) rather than a specific urban problem.,"{
  ""category"": ""other"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint describes the collectorate's method of addressing citizen issues (social networking) rather than a specific urban problem.""
}",20,low,General Municipal Services
Pune waste management complaint,Despite routing them through Chief Minister’s Office civic woes of Pune citizens remain unanswered. Despite routing them through Chief Minister’s Office civic woes of Pune citizens remain unanswered  The Indian Express,Unknown,"Pune, Maharashtra",Unknown,India,pune waste management complaint. despite routing them through chief ministers office civic woes of pune citizens remain unanswered. despite routing them through chief ministers office civic woes of pune citizens remain unanswered the indian express,other,waste_management,0.95,The complaint explicitly mentions 'pune waste management complaint'.,"{
  ""category"": ""waste_management"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint explicitly mentions 'pune waste management complaint'.""
}",50,medium,Sanitation Department
Asansol municipal complaint,"Coal Mafia, Silent Authorities, Underreported Deaths: Inside the Illegal Mining in Bengal’s Asansol. Coal Mafia, Silent Authorities, Underreported Deaths: Inside the Illegal Mining in Bengal’s Asansol  TheWire.in",Unknown,"Asansol, West Bengal",Unknown,India,"asansol municipal complaint. coal mafia, silent authorities, underreported deaths inside the illegal mining in bengals asansol. coal mafia, silent authorities, underreported deaths inside the illegal mining in bengals asansol thewire.in",other,public_safety,0.95,"The complaint describes illegal mining, mafia activity, and underreported deaths, which are direct threats to public safety and law enforcement.","{
  ""category"": ""public_safety"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint describes illegal mining, mafia activity, and underreported deaths, which are direct threats to public safety and law enforcement.""
}",90,critical,Public Safety and Emergency Response Department
Chandigarh illegal parking,"Chandigarh Municipal Corporation can earn crores by introducing nominal one-time parking fee at time of registration, says FOSWAC. Chandigarh Municipal Corporation can earn crores by introducing nominal one-time parking fee at time of registration, says FOSWAC  The Indian Express",Unknown,"Chandigarh, Chandigarh",Unknown,India,"chandigarh illegal parking. chandigarh municipal corporation can earn crores by introducing nominal one-time parking fee at time of registration, says foswac. chandigarh municipal corporation can earn crores by introducing nominal one-time parking fee at time of registration, says foswac the indian express",traffic_management,traffic_management,0.95,"The complaint is about illegal parking and suggests a parking fee, which falls under traffic management.","{
  ""category"": ""traffic_management"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint is about illegal parking and suggests a parking fee, which falls under traffic management.""
}",80,high,Traffic Operations Department
Thane electricity complaint,Mahavitaran resolves complaints of 52 electricity consumers in Badlapur subdivision. Mahavitaran resolves complaints of 52 electricity consumers in Badlapur subdivision  Newsband,Unknown,"Thane, Maharashtra",Unknown,India,thane electricity complaint. mahavitaran resolves complaints of 52 electricity consumers in badlapur subdivision. mahavitaran resolves complaints of 52 electricity consumers in badlapur subdivision newsband,other,other,0.9,"The complaint is about general electricity service issues, which does not fit into the more specific categories provided like street lighting, but rather a broader utility service.","{
  ""category"": ""other"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint is about general electricity service issues, which does not fit into the more specific categories provided like street lighting, but rather a broader utility service.""
}",20,low,General Municipal Services
Varanasi civic issue,"Video | Snap Litterbugs, Earn Rs 500: Varanasi Civic Body's Clean-Up Push. Video | Snap Litterbugs, Earn Rs 500: Varanasi Civic Body's Clean-Up Push  NDTV",Unknown,"Varanasi, Uttar Pradesh",Unknown,India,"varanasi civic issue. video  snap litterbugs, earn rs 500 varanasi civic bodys clean-up push. video  snap litterbugs, earn rs 500 varanasi civic bodys clean-up push ndtv",waste_management,waste_management,0.95,"The complaint explicitly mentions 'litterbugs' and a 'clean-up push' by the civic body, which directly relates to waste management.","{
  ""category"": ""waste_management"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint explicitly mentions 'litterbugs' and a 'clean-up push' by the civic body, which directly relates to waste management.""
}",50,medium,Sanitation Department
Rajkot flooding,"Extensive urban development, altered elevations worsened flooding in Gujarat: IIT-GN study. Extensive urban development, altered elevations worsened flooding in Gujarat: IIT-GN study  The New Indian Express",Unknown,"Rajkot, Gujarat",Unknown,India,"rajkot flooding. extensive urban development, altered elevations worsened flooding in gujarat iit-gn study. extensive urban development, altered elevations worsened flooding in gujarat iit-gn study the new indian express",water_utilities,water_utilities,0.9,"The complaint directly addresses urban flooding issues, which fall under water management and drainage infrastructure.","{
  ""category"": ""water_utilities"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint directly addresses urban flooding issues, which fall under water management and drainage infrastructure.""
}",90,critical,Water Utility Department
Thane civic issue,HC issues contempt notice to Thane civic chief for failing to raze illegal building | Mumbai news. HC issues contempt notice to Thane civic chief for failing to raze illegal building | Mumbai news  Hindustan Times,Unknown,"Thane, Maharashtra",Unknown,India,thane civic issue. hc issues contempt notice to thane civic chief for failing to raze illegal building  mumbai news. hc issues contempt notice to thane civic chief for failing to raze illegal building  mumbai news hindustan times,other,other,0.9,"The complaint is about an illegal building and the failure of the civic chief to demolish it, which is a general civic enforcement and urban planning issue not covered by other specific categories.","{
  ""category"": ""other"",
  ""confidence"": 0.9,
  ""reason"": ""The complaint is about an illegal building and the failure of the civic chief to demolish it, which is a general civic enforcement and urban planning issue not covered by other specific categories.""
}",20,low,General Municipal Services
Surat electricity complaint,Man booked for taking money on pretext of AAP poll ticket. Man booked for taking money on pretext of AAP poll ticket  The Times of India,Unknown,"Surat, Gujarat",Unknown,India,surat electricity complaint. man booked for taking money on pretext of aap poll ticket. man booked for taking money on pretext of aap poll ticket the times of india,other,public_safety,0.8,"The complaint details a crime (man booked for taking money under false pretenses), which is a public safety concern.","{
  ""category"": ""public_safety"",
  ""confidence"": 0.8,
  ""reason"": ""The complaint details a crime (man booked for taking money under false pretenses), which is a public safety concern.""
}",90,critical,Public Safety and Emergency Response Department
Indore traffic congestion,"Bus Stand Removed From Indore's Rajwada Circle, Passengers Forced To Walk 1km To Switch Buses. Bus Stand Removed From Indore's Rajwada Circle, Passengers Forced To Walk 1km To Switch Buses  News18",Unknown,"Indore, Madhya Pradesh",Unknown,India,"indore traffic congestion. bus stand removed from indores rajwada circle, passengers forced to walk 1km to switch buses. bus stand removed from indores rajwada circle, passengers forced to walk 1km to switch buses news18",traffic_management,traffic_management,0.95,"The complaint explicitly mentions 'traffic congestion' and issues with public transport (bus stand relocation) affecting passenger movement, which are core aspects of traffic management.","{
  ""category"": ""traffic_management"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint explicitly mentions 'traffic congestion' and issues with public transport (bus stand relocation) affecting passenger movement, which are core aspects of traffic management.""
}",80,high,Traffic Operations Department
Mumbai transformer issue,6-year-old girl dies in transformer blast in Nalasopara | Mumbai news. 6-year-old girl dies in transformer blast in Nalasopara | Mumbai news  Hindustan Times,Unknown,"Mumbai, Maharashtra",Unknown,India,mumbai transformer issue. 6-year-old girl dies in transformer blast in nalasopara  mumbai news. 6-year-old girl dies in transformer blast in nalasopara  mumbai news hindustan times,other,public_safety,0.95,"The complaint describes a transformer blast resulting in a fatality, which is a critical public safety issue.","{
  ""category"": ""public_safety"",
  ""confidence"": 0.95,
  ""reason"": ""The complaint describes a transformer blast resulting in a fatality, which is a critical public safety issue.""
}",90,critical,Public Safety and Emergency Response Department
