complaint_type,description,agency,location,status,source_dataset,text,category
Complex Complaint,Long narrative,Municipal Corporation,Zone 1,Open,SyntheticQA,"Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated.",other
Complex Complaint,Long narrative,Municipal Corporation,Zone 2,Open,SyntheticQA,"Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated.",other
Complex Complaint,Long narrative,Municipal Corporation,Zone 3,Open,SyntheticQA,"Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated. Residents have been reporting this issue repeatedly for several weeks. The complaint has been forwarded multiple times but no permanent action has been taken. Water is overflowing, traffic is affected, pedestrians are struggling, emergency vehicles face delays, shops are impacted, children cannot safely reach school, and nearby residents are increasingly frustrated.",other
Unknown,,Unknown,Unknown,Open,SyntheticQA,,other
Unknown,,Unknown,Unknown,Open,SyntheticQA, ,other
Graffiti,Graffiti on wall,Sanitation,Queens,Open,SyntheticQA,Graffiti reported on public wall.,waste_management
Street Condition,Pothole,Transportation,Brooklyn,Open,SyntheticQA,Large pothole on main road.,road_infrastructure
Garbage,Overflowing bin,Sanitation,Mumbai,Open,SyntheticQA,Garbage bin overflowing for three days.,waste_management
Water Supply,Low pressure,Water Board,Pune,Open,SyntheticQA,No water supply since morning.,water_utilities
Street Light,Light not working,Electricity,Delhi,Open,SyntheticQA,Street light not functioning.,street_lighting
Traffic Signal,Signal failure,Traffic Police,Hyderabad,Open,SyntheticQA,Traffic signal blinking incorrectly.,traffic_management
Noise,Construction noise,Municipal,Chennai,Open,SyntheticQA,Construction continues late at night.,noise
Drainage,Blocked drain,Water Board,Kolkata,Open,SyntheticQA,Drain blocked causing foul smell.,water_utilities
Road Damage,Cracked road,Transportation,Ahmedabad,Open,SyntheticQA,Road surface badly cracked.,road_infrastructure
Public Safety,Open manhole,Municipal,Surat,Open,SyntheticQA,Open manhole without barricade.,public_safety
General Complaint,Issue 11,Municipal Corporation,Area 11,Open,SyntheticQA,Routine civic complaint number 11.,other
General Complaint,Issue 12,Municipal Corporation,Area 12,Open,SyntheticQA,Routine civic complaint number 12.,other
General Complaint,Issue 13,Municipal Corporation,Area 13,Open,SyntheticQA,Routine civic complaint number 13.,other
General Complaint,Issue 14,Municipal Corporation,Area 14,Open,SyntheticQA,Routine civic complaint number 14.,other
General Complaint,Issue 15,Municipal Corporation,Area 15,Open,SyntheticQA,Routine civic complaint number 15.,other
General Complaint,Issue 16,Municipal Corporation,Area 16,Open,SyntheticQA,Routine civic complaint number 16.,other
General Complaint,Issue 17,Municipal Corporation,Area 17,Open,SyntheticQA,Routine civic complaint number 17.,other
General Complaint,Issue 18,Municipal Corporation,Area 18,Open,SyntheticQA,Routine civic complaint number 18.,other
General Complaint,Issue 19,Municipal Corporation,Area 19,Open,SyntheticQA,Routine civic complaint number 19.,other
General Complaint,Issue 20,Municipal Corporation,Area 20,Open,SyntheticQA,Routine civic complaint number 20.,other
General Complaint,Issue 21,Municipal Corporation,Area 21,Open,SyntheticQA,Routine civic complaint number 21.,other
General Complaint,Issue 22,Municipal Corporation,Area 22,Open,SyntheticQA,Routine civic complaint number 22.,other
General Complaint,Issue 23,Municipal Corporation,Area 23,Open,SyntheticQA,Routine civic complaint number 23.,other
General Complaint,Issue 24,Municipal Corporation,Area 24,Open,SyntheticQA,Routine civic complaint number 24.,other
General Complaint,Issue 25,Municipal Corporation,Area 25,Open,SyntheticQA,Routine civic complaint number 25.,other
General Complaint,Issue 26,Municipal Corporation,Area 26,Open,SyntheticQA,Routine civic complaint number 26.,other
General Complaint,Issue 27,Municipal Corporation,Area 27,Open,SyntheticQA,Routine civic complaint number 27.,other
General Complaint,Issue 28,Municipal Corporation,Area 28,Open,SyntheticQA,Routine civic complaint number 28.,other
General Complaint,Issue 29,Municipal Corporation,Area 29,Open,SyntheticQA,Routine civic complaint number 29.,other
General Complaint,Issue 30,Municipal Corporation,Area 30,Open,SyntheticQA,Routine civic complaint number 30.,other
